batch_id,sample_id,moisture,ph,diastase_activity,h_m_f,collection_date,lab_id,analyst,region,batch_size,quality_score,quality_category,compliance_status,moisture_deviation,ph_deviation,processing_hour,processing_day,month,quarter
BATCH_001,SAMPLE_000001,16.87270059423681,5.594485142059235,9.295930501870338,30.38163570272436,2024-01-01 00:00:00,LAB_D,Analyst_1,East,300,95.0,Premium,Compliant,0.6272994057631891,0.5944851420592352,0,Monday,1,1
BATCH_002,SAMPLE_000002,19.75357153204958,5.108289099032361,11.793306631648507,29.58363755259462,2024-01-01 01:00:00,LAB_C,Analyst_1,East,300,90.0,Excellent,Compliant,2.2535715320495804,0.10828909903236106,1,Monday,1,1
BATCH_003,SAMPLE_000003,18.659969709057027,4.428582848858984,14.110620851134858,20.512841316128714,2024-01-01 02:00:00,LAB_C,Analyst_1,East,500,90.0,Excellent,Compliant,1.1599697090570267,0.5714171511410164,2,Monday,1,1
BATCH_004,SAMPLE_000004,17.993292420985185,5.9413850591208455,13.125574204866929,26.824956552523126,2024-01-01 03:00:00,LAB_C,Analyst_1,East,300,95.0,Premium,Compliant,0.4932924209851848,0.9413850591208455,3,Monday,1,1
BATCH_005,SAMPLE_000005,15.780093202212182,5.554193517661638,13.645928035030149,27.60391237571714,2024-01-01 04:00:00,LAB_D,Analyst_4,West,300,90.0,Excellent,Compliant,1.719906797787818,0.5541935176616377,4,Monday,1,1
BATCH_006,SAMPLE_000006,15.779972601681013,3.9878508180346737,12.611483566975021,27.976455617938008,2024-01-01 05:00:00,LAB_B,Analyst_3,East,100,85.0,Good,Compliant,1.7200273983189867,1.0121491819653263,5,Monday,1,1
BATCH_007,SAMPLE_000007,15.290418060840997,6.232781553481527,12.845935951624966,31.603447384546648,2024-01-01 06:00:00,LAB_D,Analyst_1,North,100,80.0,Good,Compliant,2.209581939159003,1.2327815534815274,6,Monday,1,1
BATCH_008,SAMPLE_000008,19.330880728874675,5.967611728769507,13.944369560957234,30.67205093453757,2024-01-01 07:00:00,LAB_B,Analyst_2,East,300,90.0,Excellent,Compliant,1.830880728874675,0.9676117287695067,7,Monday,1,1
BATCH_009,SAMPLE_000009,18.005575058716044,6.349399739875772,9.747676062014301,32.15810185586889,2024-01-01 08:00:00,LAB_D,Analyst_4,West,500,90.0,Excellent,Compliant,0.5055750587160439,1.3493997398757722,8,Monday,1,1
BATCH_010,SAMPLE_000010,18.540362888980226,5.67715852516508,11.425974745501984,35.29766523084257,2024-01-01 09:00:00,LAB_D,Analyst_4,East,200,90.0,Excellent,Compliant,1.0403628889802263,0.6771585251650798,9,Monday,1,1
BATCH_011,SAMPLE_000011,15.102922471479012,5.340245587807369,9.548466092737215,36.25971477432187,2024-01-01 10:00:00,LAB_B,Analyst_1,North,500,90.0,Excellent,Compliant,2.397077528520988,0.34024558780736935,10,Monday,1,1
BATCH_012,SAMPLE_000012,19.849549260809972,4.754729108871857,14.913676055976529,34.36246152452989,2024-01-01 11:00:00,LAB_C,Analyst_4,West,200,90.0,Excellent,Compliant,2.3495492608099724,0.24527089112814338,11,Monday,1,1
BATCH_013,SAMPLE_000013,19.162213204002107,6.298185450062039,14.608415377806292,39.110473919098695,2024-01-01 12:00:00,LAB_B,Analyst_1,West,500,85.0,Good,Compliant,1.6622132040021071,1.2981854500620393,12,Monday,1,1
BATCH_014,SAMPLE_000014,16.06169555339138,6.098191668501225,8.275987679579542,20.364651653527233,2024-01-01 13:00:00,LAB_A,Analyst_3,North,100,85.0,Good,Compliant,1.438304446608619,1.098191668501225,13,Monday,1,1
BATCH_015,SAMPLE_000015,15.909124836035502,3.635656010318568,12.93902620760982,23.915559713670923,2024-01-01 14:00:00,LAB_A,Analyst_3,North,300,85.0,Good,Compliant,1.5908751639644976,1.3643439896814318,14,Monday,1,1
BATCH_016,SAMPLE_000016,15.91702254926717,3.579100923491756,14.47673822190966,20.151257499562842,2024-01-01 15:00:00,LAB_B,Analyst_4,North,300,85.0,Good,Compliant,1.5829774507328302,1.420899076508244,15,Monday,1,1
BATCH_017,SAMPLE_000017,16.521211214797688,4.629390100634149,9.264027415891334,32.94949428309206,2024-01-01 16:00:00,LAB_D,Analyst_4,North,100,100.0,Premium,Compliant,0.9787887852023118,0.3706098993658511,16,Monday,1,1
BATCH_018,SAMPLE_000018,17.62378215816119,5.931659992345499,11.975616613868407,37.96061097899974,2024-01-01 17:00:00,LAB_A,Analyst_2,North,200,95.0,Premium,Compliant,0.12378215816119109,0.9316599923454989,17,Monday,1,1
BATCH_019,SAMPLE_000019,17.15972509321058,6.461828387944833,14.408418083116292,24.869645931525987,2024-01-01 18:00:00,LAB_A,Analyst_4,West,200,90.0,Excellent,Compliant,0.3402749067894213,1.4618283879448333,18,Monday,1,1
BATCH_020,SAMPLE_000020,16.45614570099021,3.9512506733105845,8.237621850100592,38.54069089592613,2024-01-01 19:00:00,LAB_D,Analyst_2,West,200,85.0,Good,Compliant,1.0438542990097908,1.0487493266894155,19,Monday,1,1
BATCH_021,SAMPLE_000021,18.059264473611897,5.282392146056406,12.881941870727879,21.205347805791217,2024-01-01 20:00:00,LAB_D,Analyst_3,East,100,100.0,Premium,Compliant,0.559264473611897,0.28239214605640583,20,Monday,1,1
BATCH_022,SAMPLE_000022,15.69746930326021,4.642672569893064,10.081443051607856,38.68872053611028,2024-01-01 21:00:00,LAB_C,Analyst_3,East,200,95.0,Premium,Compliant,1.8025306967397903,0.3573274301069356,21,Monday,1,1
BATCH_023,SAMPLE_000023,16.460723242676092,6.409743193443809,14.470773367635712,27.03245374479269,2024-01-01 22:00:00,LAB_D,Analyst_1,South,100,85.0,Good,Compliant,1.0392767573239077,1.4097431934438092,22,Monday,1,1
BATCH_024,SAMPLE_000024,16.831809216468457,6.026356769407126,14.797407716157574,22.02841656898433,2024-01-01 23:00:00,LAB_B,Analyst_3,East,500,90.0,Excellent,Compliant,0.6681907835315428,1.0263567694071263,23,Monday,1,1
BATCH_025,SAMPLE_000025,17.28034992108518,6.014986114133413,14.609865423794037,29.717435183726515,2024-01-02 00:00:00,LAB_B,Analyst_2,East,500,90.0,Excellent,Compliant,0.21965007891482102,1.0149861141334133,0,Tuesday,1,1
BATCH_026,SAMPLE_000026,18.925879806965067,4.9060794793849105,11.319499516602246,25.13553135441016,2024-01-02 01:00:00,LAB_C,Analyst_4,North,100,95.0,Premium,Compliant,1.4258798069650673,0.09392052061508949,1,Tuesday,1,1
BATCH_027,SAMPLE_000027,15.998368910791799,4.744458507012995,14.034298556925194,25.697458039238455,2024-01-02 02:00:00,LAB_A,Analyst_1,North,300,95.0,Premium,Compliant,1.5016310892082014,0.255541492987005,2,Tuesday,1,1
BATCH_028,SAMPLE_000028,17.571172192068058,4.3202212157921185,13.911845789745492,26.14579929852573,2024-01-02 03:00:00,LAB_A,Analyst_2,East,500,95.0,Premium,Compliant,0.07117219206805814,0.6797787842078815,3,Tuesday,1,1
BATCH_029,SAMPLE_000029,17.962072844310214,3.6691264899527813,10.23370331270279,36.06051795665327,2024-01-02 04:00:00,LAB_D,Analyst_4,South,200,90.0,Excellent,Compliant,0.4620728443102138,1.3308735100472187,4,Tuesday,1,1
BATCH_030,SAMPLE_000030,15.232252063599988,6.094167128765159,13.802408319054742,30.78322553350509,2024-01-02 05:00:00,LAB_B,Analyst_1,North,100,80.0,Good,Compliant,2.2677479364000117,1.094167128765159,5,Tuesday,1,1
BATCH_031,SAMPLE_000031,18.037724259507193,5.938703027390233,8.259053443008447,26.22615398312007,2024-01-02 06:00:00,LAB_A,Analyst_3,East,200,95.0,Premium,Compliant,0.5377242595071934,0.9387030273902326,6,Tuesday,1,1
BATCH_032,SAMPLE_000032,15.852620618436458,6.499153019858392,12.173889149374371,32.206675666218366,2024-01-02 07:00:00,LAB_C,Analyst_2,East,200,85.0,Good,Compliant,1.6473793815635425,1.499153019858392,7,Tuesday,1,1
BATCH_033,SAMPLE_000033,15.325257964926397,6.489910511221716,9.610061861013921,34.32301348446387,2024-01-02 08:00:00,LAB_C,Analyst_4,West,300,80.0,Good,Compliant,2.174742035073603,1.4899105112217157,8,Tuesday,1,1
BATCH_034,SAMPLE_000034,19.74442768626667,5.166295116807882,8.843968200440951,25.452480014670677,2024-01-02 09:00:00,LAB_B,Analyst_1,South,200,90.0,Excellent,Compliant,2.2444276862666683,0.16629511680788234,9,Tuesday,1,1
BATCH_035,SAMPLE_000035,19.828160165372797,5.8069622455415315,8.538672411404464,28.270982030507028,2024-01-02 10:00:00,LAB_C,Analyst_1,West,300,85.0,Good,Compliant,2.328160165372797,0.8069622455415315,10,Tuesday,1,1
BATCH_036,SAMPLE_000036,19.041986740582306,6.334297189647284,12.874021431146979,22.43772186673895,2024-01-02 11:00:00,LAB_C,Analyst_3,South,500,85.0,Good,Compliant,1.5419867405823062,1.334297189647284,11,Tuesday,1,1
BATCH_037,SAMPLE_000037,16.523068845866852,6.048942172032234,10.379124746376462,23.622986990693605,2024-01-02 12:00:00,LAB_B,Analyst_4,North,100,90.0,Excellent,Compliant,0.9769311541331476,1.048942172032234,12,Tuesday,1,1
BATCH_038,SAMPLE_000038,15.488360570031919,4.242044305229593,13.07336740070133,33.622357079299654,2024-01-02 13:00:00,LAB_D,Analyst_3,South,200,85.0,Good,Compliant,2.0116394299680813,0.7579556947704074,13,Tuesday,1,1
BATCH_039,SAMPLE_000039,18.421165132560784,4.85163240593028,8.457494385592597,23.62876695391254,2024-01-02 14:00:00,LAB_D,Analyst_3,East,100,100.0,Premium,Compliant,0.9211651325607839,0.14836759406972,14,Tuesday,1,1
BATCH_040,SAMPLE_000040,17.200762468698006,3.887478245454485,10.207032364814273,30.503267673341202,2024-01-02 15:00:00,LAB_C,Analyst_4,East,200,90.0,Excellent,Compliant,0.29923753130199415,1.112521754545515,15,Tuesday,1,1
BATCH_041,SAMPLE_000041,15.610191174223894,6.362153081776167,11.77643904662736,34.18092523444865,2024-01-02 16:00:00,LAB_D,Analyst_4,South,100,85.0,Good,Compliant,1.8898088257761056,1.3621530817761673,16,Tuesday,1,1
BATCH_042,SAMPLE_000042,17.47588455055635,5.31852390335264,13.535062153872744,22.137538461894877,2024-01-02 17:00:00,LAB_D,Analyst_4,South,200,100.0,Premium,Compliant,0.02411544944364863,0.3185239033526397,17,Tuesday,1,1
BATCH_043,SAMPLE_000043,15.171942605576092,4.1859284165103885,10.23126752052449,31.346244392578072,2024-01-02 18:00:00,LAB_C,Analyst_2,South,200,85.0,Good,Compliant,2.328057394423908,0.8140715834896115,18,Tuesday,1,1
BATCH_044,SAMPLE_000044,19.54660201039391,5.51510205321757,12.381239635059064,25.131255674027276,2024-01-02 19:00:00,LAB_D,Analyst_4,West,200,85.0,Good,Compliant,2.0466020103939115,0.5151020532175696,19,Tuesday,1,1
BATCH_045,SAMPLE_000045,16.293899908000085,5.3543847213736875,14.20184423765331,39.2585375047516,2024-01-02 20:00:00,LAB_C,Analyst_1,South,200,95.0,Premium,Compliant,1.2061000919999145,0.3543847213736875,20,Tuesday,1,1
BATCH_046,SAMPLE_000046,18.31261142176991,4.574488154098521,12.311042317276133,29.670912934398494,2024-01-02 21:00:00,LAB_A,Analyst_3,North,200,100.0,Premium,Compliant,0.8126114217699083,0.42551184590147884,21,Tuesday,1,1
BATCH_047,SAMPLE_000047,16.558555380447054,3.840672776598887,9.630716323275436,36.119850995503164,2024-01-02 22:00:00,LAB_B,Analyst_2,West,200,90.0,Excellent,Compliant,0.9414446195529464,1.159327223401113,22,Tuesday,1,1
BATCH_048,SAMPLE_000048,17.600340105889053,5.514719586778399,8.170805470895766,31.004530843125234,2024-01-02 23:00:00,LAB_B,Analyst_4,West,200,95.0,Premium,Compliant,0.10034010588905318,0.5147195867783987,23,Tuesday,1,1
BATCH_049,SAMPLE_000049,17.733551396716397,5.06092310271138,14.09069211730651,20.868250657096382,2024-01-03 00:00:00,LAB_D,Analyst_2,South,200,100.0,Premium,Compliant,0.2335513967163969,0.060923102711379684,0,Wednesday,1,1
BATCH_050,SAMPLE_000050,15.924272277627635,5.8169551752069175,8.14888587595271,32.66302751188044,2024-01-03 01:00:00,LAB_D,Analyst_4,North,200,90.0,Excellent,Compliant,1.5757277223723651,0.8169551752069175,1,Wednesday,1,1
BATCH_051,SAMPLE_000051,19.847923138822793,5.060490503335981,14.122911708789395,39.028066844133136,2024-01-03 02:00:00,LAB_D,Analyst_2,West,100,90.0,Excellent,Compliant,2.347923138822793,0.060490503335980605,2,Wednesday,1,1
BATCH_052,SAMPLE_000052,18.875664116805574,6.056544500955621,11.702559938190484,32.03223640292663,2024-01-03 03:00:00,LAB_B,Analyst_3,East,300,85.0,Good,Compliant,1.3756641168055737,1.0565445009556207,3,Wednesday,1,1
BATCH_053,SAMPLE_000053,19.697494707820944,5.1557205163234565,14.573473889590273,36.3837771885358,2024-01-03 04:00:00,LAB_A,Analyst_3,West,200,90.0,Excellent,Compliant,2.197494707820944,0.15572051632345651,4,Wednesday,1,1
BATCH_054,SAMPLE_000054,19.474136752138243,5.182813914606159,13.591482650415657,37.68412926696816,2024-01-03 05:00:00,LAB_A,Analyst_1,South,300,95.0,Premium,Compliant,1.974136752138243,0.18281391460615914,5,Wednesday,1,1
